ENSG00000000003	0	,	0	,	0	0
ENSG00000054392	8	,0.0008,0.0008,0.0008,0.0083,0.034,0.0023,0.0008,0.0008,	11	,0.0008,0.0008,0.0008,0.0348,0.1483,0.0008,0.0008,0.0008,0.0386,0.0008,0.0023,	0	3
ENSG00000054523	15	,0.0008,0.0008,0.0008,0.0008,0.0015,0.0008,0.0008,0.0537,0.0045,0.0008,0.0008,0.0008,0.0015,0.0068,0.0008,	16	,0.0023,0.056,0.0008,0.0008,0.0575,0.0008,0.0008,0.0008,0.0008,0.0023,0.0053,0.0023,0.031,0.0121,0.0045,0.0575,	2	9
ENSG00000054598	2	,0.115,0.0008,	9	,0.0008,0.0008,0.0038,0.0076,0.115,0.0113,0.0129,0.115,0.0008,	0	0
ENSG00000054611	14	,0.0008,0.003,0.0008,0.003,0.0166,0.0008,0.0008,0.0008,0.0212,0.0008,0.0008,0.0015,0.0053,0.0083,	7	,0.0431,0.0008,0.0008,0.0023,0.0008,0.0023,0.0272,	1	4
ENSG00000054654	170	,0.0008,0.0008,0.0068,0.0023,0.0008,0.9992,0.0008,0.0575,0.0787,0.0008,0.0008,0.0038,0.1135,0.0015,0.0015,0.0234,0.0008,0.0015,0.0008,0.0015,0.0008,0.1339,0.0008,0.0008,0.0038,0.0008,0.0068,0.0008,0.0008,0.0227,0.0318,0.0008,0.0257,0.0015,0.3283,0.0008,0.0008,0.3215,0.8472,0.1528,0.4236,0.025,0.003,0.7557,0.0136,0.0023,0.0053,0.0008,0.0038,0.0113,0.0008,0.8563,0.0008,0.0424,0.0008,0.3026,0.0393,0.0053,0.0008,0.0015,0.1884,0.0113,0.0008,0.0008,0.3593,0.3623,0.0008,0.056,0.0008,0.062,0.003,0.0106,0.0507,0.0008,0.0008,0.0008,0.0045,0.0008,0.0023,0.0008,0.0008,0.1884,0.146,0.031,0.0015,0.0053,0.0008,0.0008,0.0121,0.0212,0.0484,0.0008,0.0008,0.0008,0.0008,0.9561,0.0015,0.0045,0.0008,0.9992,0.0008,0.0257,0.0008,0.0008,0.0015,0.003,0.0045,0.0484,0.0015,0.0008,0.0023,0.0008,0.0008,0.0257,0.0008,0.0053,0.0008,0.0832000000000001,0.0008,0.0008,0.0008,0.0038,0.0008,0.0091,0.0015,0.0023,0.0008,0.0008,0.0015,0.0045,0.0015,0.0121,0.0008,0.0008,0.0008,0.0166,0.0015,0.0015,0.0015,0.0008,0.0015,0.0061,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008,0.0068,0.0008,0.0008,0.0008,0.0038,0.0076,0.0015,0.0174,0.0008,0.0008,0.0015,0.0008,0.0008,0.0023,0.0061,0.0008,0.0008,	74	,0.0091,0.0008,0.2542,0.0015,0.0008,0.0008,0.1339,0.0136,0.0242,0.0023,0.1505,0.0023,0.0008,0.0008,0.0008,0.0061,0.0068,0.0008,0.0008,0.0008,0.0023,0.4818,0.1891,0.0008,0.0008,0.0015,0.087,0.0015,0.0008,0.0023,0.0008,0.0008,0.0008,0.0008,0.0756,0.1997,0.0008,0.0015,0.0219,0.0008,0.0106,0.0008,0.0008,0.0008,0.003,0.0166,0.1687,0.0008,0.0023,0.0015,0.0008,0.4274,0.0008,0.0061,0.0234,0.0008,0.0008,0.0787,0.0008,0.0098,0.0008,0.3464,0.003,0.0008,0.0008,0.8048,0.0008,0.0008,0.0008,0.0083,0.0008,0.2057,0.0219,0.0008,	39	28
ENSG00000054690	29	,0.028,0.0008,0.0809,0.0484,0.0015,0.0144,0.0038,0.0136,0.1437,0.8812,0.0008,0.0008,0.0008,0.0015,0.0938,0.0159,0.6097,0.0008,0.0068,0.0008,0.0015,0.0008,0.0008,0.0008,0.0348,0.0008,0.0023,0.003,0.2057,	18	,0.0499,0.0023,0.0008,0.2443,0.0008,0.112,0.0287,0.0015,0.0015,0.0121,0.5862,0.0023,0.0015,0.0348,0.0008,0.0144,0.0008,0.0227,	13	6
ENSG00000054793	8	,0.0008,0.0008,0.0008,0.0008,0.0015,0.0008,0.0008,0.0008,	20	,0.0038,0.0265,0.0015,0.0008,0.0008,0.0287,0.0008,0.0008,0.0045,0.0015,0.0008,0.003,0.0802,0.0008,0.0061,0.292,0.4909,0.0053,0.0499,0.0083,	0	6
ENSG00000054796	3	,0.0136,0.0008,0.0068,	1	,0.0832,	3	0
ENSG00000054803	1	,0.0008,	3	,0.0008,0.0015,0.0015,	0	0
ENSG00000054938	15	,0.0076,0.0045,0.0015,0.0008,0.003,0.0015,0.0756,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008,0.0015,	13	,0.0605,0.6165,0.0008,0.0023,0.0068,0.0061,0.0008,0.0015,0.0076,0.2776,0.1346,0.0121,0.0008,	0	2
ENSG00000054965	4	,0.0008,0.0008,0.0008,0.0008,	6	,0.0008,0.0098,0.0182,0.3253,0.0008,0.0008,	0	1
ENSG00000054967	11	,0.0015,0.0008,0.0023,0.0008,0.0008,0.0015,0.0008,0.025,0.034,0.0008,0.0015,	15	,0.0008,0.0008,0.0008,0.0015,0.0008,0.003,0.0106,0.0008,0.0008,0.0083,0.0023,0.0008,0.0083,0.2632,0.0356,	1	2
ENSG00000054983	21	,0.1573,0.0098,0.0008,0.6452,0.0174,0.0008,0.0008,0.0144,0.0076,0.0174,0.0008,0.0015,0.0008,0.0008,0.0015,0.0113,0.0008,0.0008,0.0015,0.003,0.0182,	21	,0.0008,0.0008,0.0212,0.1566,0.0083,0.0008,0.1505,0.0008,0.0015,0.4387,0.0129,0.0106,0.0008,0.0681,0.0794,0.0855,0.003,0.0106,0.0174,0.0174,0.0053,	0	3
ENSG00000055044	7	,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008,	7	,0.0045,0.0144,0.0136,0.0113,0.0053,0.0008,0.0045,	2	1
ENSG00000055070	1	,0.0023,	1	,0.0212,	0	0
ENSG00000055118	12	,0.0008,0.0008,0.0008,0.0015,0.0068,0.0008,0.003,0.0008,0.0008,0.0008,0.0008,0.0098,	27	,0.0015,0.0008,0.0053,0.0008,0.0008,0.0552,0.0008,0.0552,0.0008,0.0008,0.18,0.0008,0.0023,0.2511,0.0008,0.0386,0.0008,0.0015,0.0008,0.0008,0.0008,0.0136,0.0045,0.0008,0.0008,0.0008,0.0008,	1	6
ENSG00000055130	1	,0.0008,	10	,0.0083,0.0091,0.0015,0.0083,0.0008,0.0008,0.0008,0.0008,0.0174,0.0008,	0	0
ENSG00000055147	17	,0.056,0.0015,0.0008,0.0045,0.0008,0.0023,0.0008,0.0008,0.0008,0.0008,0.0008,0.0091,0.0015,0.0015,0.0008,0.0008,0.0008,	5	,0.0015,0.1891,0.0106,0.0008,0.0008,	3	2
ENSG00000055163	6	,0.0008,0.0008,0.0008,0.0008,0.0015,0.0008,	20	,0.0015,0.0091,0.003,0.0234,0.0015,0.0938,0.0008,0.525,0.0061,0.0083,0.0008,0.0023,0.0272,0.0113,0.0023,0.0189,0.0053,0.0061,0.0756,0.0219,	2	10
ENSG00000055208	1	,0.0015,	6	,0.0008,0.0008,0.0008,0.0008,0.0008,0.0552,	0	3
ENSG00000055211	1	,0.0424,	4	,0.2738,0.0008,0.0008,0.0008,	2	1
ENSG00000055332	5	,0.0008,0.0008,0.0008,0.0008,0.0008,	11	,0.031,0.0008,0.0008,0.0053,0.0008,0.0613,0.0008,0.0008,0.0008,0.0015,0.0008,	4	2
ENSG00000055483	39	,0.0015,0.0257,0.0008,0.0159,0.0832,0.0582,0.0008,0.3381,0.0008,0.3994,0.003,0.0023,0.0023,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008,0.0053,0.003,0.0023,0.0008,0.0015,0.0008,0.0008,0.0008,0.0008,0.1104,0.0008,0.0023,0.0023,0.003,0.0129,0.0129,0.0023,0.0008,0.0008,	29	,0.0454,0.0008,0.0008,0.0008,0.0015,0.0008,0.0159,0.41,0.0008,0.9864,0.0008,0.0023,0.0015,0.0008,0.0159,0.0015,0.0038,0.0121,0.1112,0.0855,0.0091,0.1112,0.0129,0.0015,0.0129,0.0008,0.0295,0.0008,0.2511,	6	2
ENSG00000055609	75	,0.0008,0.0008,0.0015,0.0015,0.0023,0.0008,0.0008,0.0015,0.0008,0.0015,0.0008,0.0008,0.0008,0.0008,0.0023,0.0106,0.0008,0.0061,0.003,0.0008,0.0008,0.0008,0.0008,0.0008,0.0015,0.0008,0.0015,0.0008,0.0008,0.0008,0.0008,0.0106,0.0272,0.0008,0.0008,0.0008,0.0023,0.0008,0.0023,0.0159,0.0098,0.003,0.0083,0.0363,0.0008,0.0023,0.0015,0.0023,0.0038,0.0023,0.0008,0.0121,0.0008,0.0015,0.0008,0.0008,0.0144,0.0008,0.0015,0.0023,0.0008,0.0136,0.0008,0.0008,0.003,0.0008,0.5023,0.0015,0.0015,0.0023,0.4274,0.0023,0.0008,0.0356,0.0015,	61	,0.0023,0.0008,0.0008,0.0008,0.0008,0.0008,0.0303,0.0363,0.0045,0.1596,0.0008,0.0008,0.0015,0.0008,0.0023,0.0008,0.003,0.0008,0.0008,0.0008,0.0023,0.0008,0.0015,0.0008,0.0204,0.0045,0.0008,0.2451,0.0008,0.6558,0.003,0.0008,0.0015,0.1074,0.0008,0.0008,0.0008,0.0015,0.0015,0.0008,0.0008,0.0045,0.0053,0.1074,0.0076,0.1112,0.0008,0.0008,0.0008,0.0008,0.0023,0.0008,0.0038,0.0015,0.0008,0.0008,0.0015,0.0008,0.0008,0.0008,0.0416,	16	20
ENSG00000055732	6	,0.0008,0.0045,0.0023,0.0023,0.0008,0.0008,	9	,0.0121,0.0008,0.0008,0.0091,0.9992,0.1702,0.0023,0.0076,0.0076,	0	0
ENSG00000055813	12	,0.4115,0.0008,0.0008,0.0008,0.0265,0.0257,0.0008,0.0015,0.0015,0.0272,0.0008,0.0008,	4	,0.0499,0.0008,0.0008,0.0008,	3	6
ENSG00000055917	5	,0.0008,0.0008,0.0008,0.0008,0.0015,	6	,0.0061,0.0008,0.0008,0.0008,0.0008,0.1021,	1	4
ENSG00000055950	7	,0.0008,0.0008,0.0015,0.003,0.0098,0.0008,0.0008,	5	,0.0076,0.0008,0.0008,0.0008,0.0008,	0	1
ENSG00000055955	23	,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008,0.5809,0.0008,0.5809,0.1997,0.0023,0.4191,0.003,0.0008,0.0008,0.0008,0.0008,0.0023,0.0008,0.0015,0.1997,0.0008,	16	,0.0008,0.0053,0.0008,0.5809,0.0061,0.003,0.0008,0.0015,0.0242,0.0136,0.0023,0.0015,0.1989,0.0015,0.2958,0.0613,	2	2
ENSG00000055957	24	,0.0068,0.0015,0.0015,0.0015,0.0038,0.0008,0.0008,0.0008,0.0015,0.0068,0.0015,0.0008,0.003,0.1293,0.4607,0.0008,0.0023,0.0008,0.0681,0.0008,0.0499,0.0008,0.0008,0.0045,	12	,0.1974,0.0885,0.0408,0.0038,0.0219,0.0008,0.0038,0.0068,0.0348,0.4175,0.0015,0.0061,	5	5
ENSG00000056050	13	,0.0008,0.0008,0.0008,0.0287,0.3283,0.0008,0.0008,0.0008,0.0023,0.0008,0.0023,0.0008,0.0008,	5	,0.0008,0.0008,0.3101,0.0484,0.0023,	2	0
ENSG00000056097	9	,0.0008,0.0008,0.0779,0.0008,0.0008,0.0038,0.0008,0.0008,0.0008,	10	,0.0015,0.0008,0.0008,0.0008,0.0764,0.0008,0.0008,0.0008,0.0038,0.0008,	2	1
ENSG00000056277	0	,	0	,	0	0
ENSG00000056291	26	,0.0008,0.0325,0.0023,0.0008,0.0008,0.0053,0.0083,0.0008,0.0008,0.0008,0.0061,0.0348,0.0008,0.0008,0.0401,0.0008,0.0008,0.0053,0.0061,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008,	5	,0.0008,0.0008,0.0008,0.0008,0.0053,	4	1
ENSG00000056487	16	,0.003,0.0045,0.0008,0.0008,0.0008,0.0083,0.0121,0.0015,0.0008,0.0023,0.1528,0.0008,0.0038,0.0053,0.0008,0.0008,	8	,0.0083,0.0076,0.354,0.326,0.0068,0.0008,0.0008,0.0008,	1	1
ENSG00000056558	7	,0.0008,0.0008,0.0008,0.0008,0.0053,0.0015,0.0068,	8	,0.0008,0.2224,0.0008,0.0492,0.0008,0.0091,0.233,0.0008,	1	2
ENSG00000056586	6	,0.0023,0.0008,0.0008,0.0008,0.0008,0.0174,	12	,0.0008,0.0008,0.0008,0.1006,0.059,0.0008,0.0038,0.0098,0.0015,0.0008,0.3903,0.0015,	3	3
ENSG00000056736	16	,0.0053,0.0015,0.0008,0.0008,0.0008,0.0499,0.0045,0.0121,0.0008,0.0023,0.0008,0.0008,0.9955,0.0499,0.0053,0.0499,	6	,0.0802,0.4281,0.0008,0.0469,0.0008,0.0121,	2	1
ENSG00000056972	14	,0.0008,0.0008,0.0008,0.00449999999999995,0.0008,0.0008,0.0038,0.0008,0.0068,0.0295,0.0045,0.0008,0.143,0.0023,	2	,0.0008,0.0053,	1	1
ENSG00000056998	0	,	0	,	0	0
ENSG00000057019	15	,0.0008,0.0008,0.0197,0.0008,0.0038,0.0015,0.0015,0.0008,0.0015,0.0008,0.0008,0.0068,0.0008,0.0091,0.0053,	14	,0.0582,0.0008,0.0023,0.2511,0.0008,0.0008,0.0575,0.0772,0.0008,0.2171,0.0008,0.0008,0.0083,0.0008,	2	0
ENSG00000057149	20	,0.0212,0.0212,0.0825,0.205,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008,0.205,0.0015,0.003,0.1112,0.0113,0.0008,0.0008,0.0008,0.0008,0.0061,	7	,0.0008,0.205,0.0008,0.9992,0.0038,0.0008,0.0008,	4	4
ENSG00000057252	12	,0.0015,0.0008,0.0008,0.0106,0.0492,0.0008,0.0008,0.0015,0.0008,0.0008,0.0008,0.0053,	11	,0.0008,0.0371,0.1354,0.0295,0.0061,0.3472,0.0015,0.0008,0.0008,0.0734,0.0008,	0	0
ENSG00000057294	25	,0.0038,0.0008,0.0129,0.0008,0.0015,0.0008,0.0015,0.0091,0.0015,0.0015,0.0008,0.0045,0.0038,0.7897,0.0008,0.0008,0.0015,0.0008,0.0408,0.0008,0.0008,0.0061,0.0008,0.0008,0.0008,	7	,0.0008,0.0008,0.003,0.0212,0.0053,0.0091,0.0098,	3	4
ENSG00000057468	17	,0.0008,0.0008,0.3026,0.003,0.003,0.0008,0.0008,0.0038,0.0008,0.0008,0.0015,0.0008,0.0008,0.0008,0.0008,0.0008,0.1369,	6	,0.0242,0.3154,0.0015,0.0015,0.0015,0.0008,	4	1
ENSG00000057593	16	,0.0038,0.0015,0.0008,0.0008,0.0136,0.0008,0.0015,0.0015,0.0023,0.0015,0.0008,0.0076,0.0091,0.0045,0.1172,0.0008,	12	,0.0446,0.0015,0.0008,0.0008,0.0008,0.1346,0.0015,0.0008,0.0008,0.0015,0.003,0.0068,	4	7
ENSG00000057608	8	,0.0719,0.0015,0.0091,0.0038,0.0008,0.0113,0.0008,0.003,	2	,0.0008,0.0023,	1	5
ENSG00000057657	15	,0.0008,0.0658,0.0015,0.1558,0.0144,0.0136,0.0008,0.0008,0.0008,0.0083,0.0008,0.0008,0.0303,0.003,0.0091,	9	,0.0113,0.0008,0.003,0.003,0.0008,0.0015,0.0008,0.0197,0.0166,	3	2
ENSG00000057663	1	,0.0189,	4	,0.0008,0.0756,0.0635,0.0008,	0	0
ENSG00000057704	11	,0.0257,0.0008,0.0045,0.0023,0.034,0.0008,0.0015,0.0015,0.0008,0.0045,0.000800000000000023,	8	,0.5234,0.0121,0.1021,0.0008,0.0734,0.0008,0.0151,0.2421,	0	2
ENSG00000057757	1	,0.0008,	3	,0.0083,0.0023,0.093,	0	3
ENSG00000057935	6	,0.0008,0.0008,0.0008,0.0008,0.0045,0.0295,	3	,0.0008,0.0045,0.0061,	0	1
ENSG00000058056	8	,0.0008,0.003,0.0015,0.0008,0.0038,0.0015,0.0008,0.0008,	13	,0.3767,0.059,0.0893,0.0038,0.0015,0.0076,0.0008,0.0151,0.031,0.1921,0.0008,0.0015,0.0008,	1	2
ENSG00000058063	16	,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008,0.0212,0.0008,0.0499,0.0015,0.0015,0.0197,0.0008,0.0008,0.0008,0.0008,	4	,0.0008,0.0106,0.0008,0.3472,	1	5
ENSG00000058085	30	,0.0008,0.0008,0.0008,0.1135,0.0008,0.0015,0.0083,0.0008,0.0008,0.0242,0.0023,0.0008,0.0008,0.0008,0.0008,0.003,0.0015,0.0008,0.0008,0.0015,0.0045,0.0008,0.0416,0.0106,0.2186,0.0053,0.0008,0.0023,0.0015,0.0008,	19	,0.0015,0.0015,0.4024,0.0008,0.4024,0.4523,0.0008,0.0008,0.0015,0.0008,0.0023,0.4599,0.0038,0.0008,0.0234,0.0023,0.0008,0.1392,0.0008,	6	1
ENSG00000058091	6	,0.0265,0.0015,0.0008,0.0008,0.0045,0.0023,	7	,0.0015,0.0091,0.0257,0.0023,0.0008,0.031,0.0008,	0	2
ENSG00000058262	0	,	5	,0.0076,0.0008,0.0008,0.0008,0.0008,	0	2
ENSG00000058272	12	,0.0008,0.0008,0.0008,0.0008,0.0008,0.0076,0.0061,0.0008,0.0008,0.0204,0.0008,0.0008,	9	,0.0008,0.4425,0.0015,0.0008,0.0008,0.0008,0.0008,0.0015,0.0008,	1	1
ENSG00000058335	9	,0.0076,0.0008,0.0182,0.0008,0.0008,0.0008,0.0008,0.0015,0.0008,	22	,0.0008,0.0061,0.0121,0.5303,0.0038,0.0015,0.0015,0.0272,0.0015,0.0166,0.0008,0.0023,0.0061,0.0015,0.0008,0.003,0.0318,0.0053,0.0008,0.0008,0.0008,0.0008,	2	5
ENSG00000058453	88	,0.0008,0.0023,0.0008,0.0008,0.0008,0.0113,0.0023,0.0015,0.0643,0.0098,0.0083,0.003,0.0015,0.0008,0.0008,0.0038,0.0008,0.0038,0.0061,0.0076,0.0325,0.0008,0.152,0.0008,0.0008,0.0008,0.9992,0.0083,0.0038,0.0008,0.0091,0.0008,0.0265,0.0008,0.003,0.0061,0.003,0.0189,0.0008,0.0038,0.9992,0.0008,0.0008,0.0008,0.0008,0.025,0.0045,0.0469,0.0015,0.0008,0.0008,0.0015,0.003,0.0023,0.0008,0.0023,0.0953,0.0008,0.0053,0.0008,0.0008,0.0045,0.1838,0.0023,0.0787,0.0008,0.0008,0.0023,0.0303,0.0008,0.0008,0.0008,0.2867,0.0008,0.0015,0.0008,0.0174,0.0008,0.0008,0.0083,0.0061,0.0008,0.0008,0.0166,0.0008,0.0008,0.0008,0.0008,	49	,0.0015,0.0008,0.0008,0.0008,0.0008,0.938,0.0613,0.9985,0.0008,0.9977,0.0038,0.0015,0.0008,0.0151,0.0015,0.0242,0.0038,0.0023,0.0182,0.0008,0.0008,0.0227,0.0008,0.0008,0.0008,0.0098,0.0008,0.0015,0.0015,0.0008,0.0015,0.0159,0.1861,0.1846,0.0318,0.0076,0.0008,0.025,0.0008,0.0008,0.00529999999999997,0.0008,0.0023,0.0015,0.0008,0.003,0.0008,0.0023,0.0045,	9	17
ENSG00000058600	6	,0.0106,0.0008,0.0008,0.0008,0.0083,0.0053,	3	,0.0008,0.0008,0.0008,	2	3
ENSG00000058668	16	,0.0008,0.0008,0.0008,0.0242,0.0015,0.0091,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008,0.0015,0.0008,0.0008,0.0023,	24	,0.3646,0.0008,0.0008,0.3275,0.0015,0.0008,0.0091,0.0325,0.003,0.0552,0.0023,0.0136,0.056,0.0015,0.0023,0.0802,0.0008,0.0008,0.0151,0.0045,0.003,0.0008,0.0023,0.0015,	1	5
ENSG00000058673	13	,0.0008,0.0008,0.0008,0.0113,0.0008,0.0098,0.0008,0.0083,0.0008,0.0008,0.0045,0.003,0.0008,	11	,0.0772,0.0061,0.0008,0.0227,0.0008,0.0098,0.1112,0.0605,0.112,0.0008,0.003,	1	1
ENSG00000058729	13	,0.0015,0.0552,0.0083,0.0658,0.0023,0.4841,0.0008,0.0008,0.0008,0.0015,0.0499,0.0008,0.0749,	11	,0.4924,0.0008,0.0159,0.0008,0.0008,0.0008,0.0847,0.0008,0.2194,0.2194,0.0008,	0	3
ENSG00000058799	6	,0.0008,0.0015,0.0008,0.0008,0.003,0.0008,	0	,	1	0
ENSG00000058804	9	,0.0008,0.0098,0.0015,0.0008,0.0038,0.0008,0.0015,0.0113,0.025,	5	,0.003,0.0038,0.0008,0.0008,0.0242,	3	4
ENSG00000058866	14	,0.0189,0.0008,0.0008,0.0008,0.0015,0.0008,0.0809,0.0008,0.0008,0.0008,0.0008,0.4387,0.0008,0.0008,	10	,0.0605,0.0015,0.0174,0.0008,0.0008,0.0015,0.0045,0.3064,0.0386,0.0008,	2	1
ENSG00000059122	2	,0.0008,0.0038,	2	,0.0008,0.0015,	2	2
ENSG00000059145	19	,0.0008,0.0023,0.0129,0.0023,0.0053,0.0008,0.0015,0.0038,0.0015,0.0008,0.0008,0.0567,0.0008,0.0121,0.0008,0.0008,0.0008,0.0008,0.0008,	26	,0.0008,0.0008,0.0053,0.0008,0.0008,0.0045,0.0008,0.0008,0.0061,0.0061,0.0008,0.0015,0.0038,0.0083,0.5749,0.0439,0.0008,0.0008,0.0023,0.0068,0.0008,0.0008,0.0008,0.0265,0.0256999999999999,0.0015,	10	4
ENSG00000059377	22	,0.0008,0.0008,0.0008,0.0008,0.0038,0.0265,0.0008,0.0038,0.0008,0.0015,0.0469,0.0015,0.1543,0.0008,0.0424,0.0053,0.0673,0.0015,0.0008,0.0008,0.0008,0.0015,	7	,0.0008,0.0023,0.0061,0.0076,0.0008,0.062,0.003,	4	5
ENSG00000059378	25	,0.0008,0.0008,0.0008,0.0234,0.0008,0.0015,0.0008,0.0008,0.0008,0.003,0.0008,0.0855,0.0008,0.0008,0.0008,0.298,0.0008,0.0008,0.0008,0.0008,0.0166,0.0045,0.0144,0.0008,0.0272,	6	,0.2799,0.003,0.0166,0.0008,0.0008,0.0008,	1	4
ENSG00000059573	9	,0.0008,0.0008,0.0015,0.0008,0.0106,0.0008,0.0439,0.0008,0.0008,	4	,0.0136,0.0008,0.0325,0.0083,	0	2
ENSG00000059588	35	,0.0008,0.0008,0.0008,0.0015,0.0272,0.0159,0.0008,0.0083,0.0038,0.0008,0.0008,0.0015,0.0008,0.0023,0.0008,0.0008,0.6899,0.003,0.0008,0.0015,0.0008,0.0008,0.053,0.0507,0.9017,0.0008,0.0182,0.0061,0.0053,0.1014,0.0008,0.1831,0.0008,0.0008,0.0023,	27	,0.0008,0.0008,0.0015,0.5401,0.5401,0.6225,0.6089,0.0008,0.146,0.789,0.0015,0.0431,0.0008,0.0098,0.0008,0.0015,0.1959,0.0008,0.7436,0.0038,0.1044,0.1157,0.0008,0.0008,0.0787,0.0666,0.0008,	7	14
ENSG00000059691	13	,0.0098,0.0008,0.0204,0.0008,0.0015,0.0083,0.0015,0.0053,0.0015,0.0121,0.003,0.0265,0.2511,	6	,0.0038,0.0008,0.0015,0.0265,0.0008,0.0008,	1	0
ENSG00000059728	2	,0.0008,0.003,	3	,0.8502,0.0015,0.0008,	0	0
ENSG00000059758	6	,0.0008,0.0008,0.0045,0.0008,0.0008,0.0008,	4	,0.0121,0.0008,0.0129,0.0015,	0	3
ENSG00000059769	6	,0.0008,0.0098,0.0008,0.0023,0.0008,0.0053,	3	,0.0008,0.1505,0.3517,	1	3
ENSG00000059915	17	,0.0008,0.0008,0.0015,0.0008,0.0008,0.0023,0.0454,0.0015,0.0015,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008,0.003,0.0008,	15	,0.003,0.0008,0.0779,0.0008,0.0008,0.0008,0.0038,0.003,0.0038,0.0008,0.0061,0.0008,0.0113,0.0045,0.0008,	2	3
ENSG00000060069	16	,0.2995,0.0613,0.0045,0.0166,0.0015,0.0008,0.0008,0.0113,0.0008,0.0182,0.0015,0.0008,0.0008,0.0038,0.0008,0.0008,	24	,0.0325,0.1067,0.0129,0.0008,0.0008,0.0166,0.093,0.0106,0.0015,0.3147,0.0144,0.0015,0.2307,0.0023,0.0023,0.0265,0.0023,0.0197,0.0477,0.0008,0.0045,0.0023,0.0197,0.3631,	4	7
ENSG00000060138	14	,0.031,0.0008,0.0015,0.0023,0.0053,0.0015,0.0008,0.0008,0.0045,0.0045,0.0008,0.1445,0.0038,0.003,	10	,0.0008,0.0008,0.2284,0.0008,0.0008,0.0136,0.0008,0.0008,0.0008,0.0681,	0	0
ENSG00000060140	11	,0.0023,0.0015,0.0008,0.0008,0.3457,0.0008,0.0015,0.0008,0.0045,0.0537,0.0015,	7	,0.0015,0.0098,0.0038,0.0106,0.1097,0.0068,0.0008,	2	3
ENSG00000060237	36	,0.003,0.0008,0.0008,0.0008,0.0015,0.0008,0.0015,0.0166,0.0091,0.0484,0.0045,0.0303,0.0008,0.0484,0.0023,0.0008,0.0008,0.0015,0.0061,0.0008,0.0008,0.0008,0.0008,0.1369,0.0008,0.0008,0.0008,0.0008,0.0484,0.0008,0.0008,0.0008,0.0008,0.0015,0.0008,0.4478,	28	,0.0008,0.9713,0.0015,0.0477,0.0877,0.0008,0.0008,0.0015,0.0008,0.0287,0.0008,0.0008,0.4924,0.9622,0.0484,0.0113,0.0008,0.4887,0.8797,0.0008,0.0068,0.0113,0.7315,0.0363,0.0015,0.0008,0.0015,0.0189,	13	13
ENSG00000060339	6	,0.0008,0.0008,0.0008,0.0008,0.0008,0.0061,	10	,0.0008,0.0703,0.0129,0.0008,0.7088,0.0008,0.0008,0.0008,0.0091,0.0408,	1	5
ENSG00000060491	22	,0.0091,0.0045,0.0023,0.0666,0.9962,0.0008,0.0038,0.0189,0.0166,0.0008,0.0076,0.0008,0.0008,0.2927,0.4523,0.0091,0.0008,0.0008,0.0613,0.1233,0.0068,0.0008,	22	,0.0008,0.0023,0.0166,0.3124,0.1036,0.0045,0.0008,0.0015,0.2814,0.003,0.0023,0.0008,0.0008,0.0908,0.0098,0.0136,0.0038,0.0008,0.0008,0.0015,0.0008,0.0053,	2	4
ENSG00000060558	6	,0.0098,0.0008,0.0008,0.0378,0.003,0.0008,	14	,0.0015,0.0015,0.0212,0.0197,0.0015,0.003,0.0008,0.0008,0.2572,0.0144,0.0061,0.0008,0.1604,0.0348,	1	1
ENSG00000060566	12	,0.0008,0.0008,0.0038,0.0023,0.0015,0.0008,0.0008,0.0008,0.003,0.0008,0.0008,0.0008,	6	,0.0855,0.0008,0.0008,0.0008,0.0393,0.0204,	4	2
ENSG00000060656	27	,0.0386,0.0008,0.0008,0.0008,0.0023,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008,0.0068,0.0091,0.1195,0.0015,0.0008,0.0023,0.0008,0.2209,0.0008,0.0015,0.0008,0.0008,0.0008,0.0008,0.003,0.0008,	33	,0.0008,0.0008,0.0038,0.0015,0.0008,0.0023,0.0008,0.0431,0.0469,0.0008,0.0008,0.0008,0.0008,0.0166,0.0008,0.0061,0.3533,0.0015,0.0983,0.0015,0.0008,0.0023,0.0008,0.0091,0.003,0.0265,0.003,0.0877,0.0015,0.0008,0.0446,0.0015,0.0068,	2	3
ENSG00000060688	2	,0.0008,0.0008,	2	,0.0008,0.0015,	1	6
ENSG00000060709	22	,0.0008,0.0008,0.0008,0.0015,0.0008,0.0008,0.0356,0.0008,0.0008,0.0303,0.0008,0.003,0.0008,0.003,0.0038,0.0008,0.0008,0.0008,0.0008,0.0378,0.0015,0.0008,	28	,0.0008,0.2632,0.0008,0.0008,0.0424,0.0023,0.0166,0.2148,0.0008,0.0008,0.8343,0.0015,0.0008,0.0008,0.053,0.0272,0.0008,0.0008,0.0008,0.0008,0.0129,0.0605,0.0008,0.0008,0.0098,0.0008,0.0008,0.6286,	3	7
